plot_file,plot_family,cube_name,unit,audience,color_mode,x_variable,y_variable,z_variable,weight_variable,filter_description,interpretation_note,caveats,title,caption_note,figure_tier,recommendation_status,interpretation_message,display_transform,selection_rule,known_limitation,status
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_incoming_3d_1995_2016_portfolio.png,3d_trajectory,Green Transition Readiness Cube - incoming network version,global,portfolio,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,all country-sector nodes,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.",Incoming green exposure is more volatile than local green-ness,"Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.",research-support,supporting,Shows output-weighted movement through available green-readiness space.,display labels cleaned only; source data unchanged,all country-sector nodes,Use as contextual 3D trajectory.,written
outputs\plots\abm_v3\phase_space\phase_space_sector_green_readiness_incoming_3d_1995_2016_portfolio.png,3d_trajectory,Green Transition Readiness Cube - incoming network version,sector,portfolio,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,top 8 sectors by movement relevance,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.",Sector trajectories reveal distinct capability-constrained transition paths,Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,research-support,supporting,Shows heterogeneous sector corridors in available green-readiness space.,display labels cleaned only; source data unchanged,top 8 sectors by movement relevance,Filtered view; not all sectors or nodes are displayed.,written
outputs\plots\abm_v3\phase_space\phase_space_nodes_top10_output_green_readiness_incoming_3d_1995_2016_portfolio.png,3d_trajectory,Green Transition Readiness Cube - incoming network version,top10_output,portfolio,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,top 10 nodes by output,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.",Incoming green exposure is more volatile than local green-ness,Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,research-support,supporting,Shows concentration and persistence among selected country-sector nodes.,display labels cleaned only; source data unchanged,top 10 nodes by output,Filtered view; not all sectors or nodes are displayed.,written
outputs\plots\abm_v3\phase_space\phase_space_nodes_top10_emissions_green_readiness_incoming_3d_1995_2016_portfolio.png,3d_trajectory,Green Transition Readiness Cube - incoming network version,top10_emissions,portfolio,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,top 10 nodes by emissions,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.",Incoming green exposure is more volatile than local green-ness,Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,research-support,supporting,Shows concentration and persistence among selected country-sector nodes.,display labels cleaned only; source data unchanged,top 10 nodes by emissions,Filtered view; not all sectors or nodes are displayed.,written
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_incoming_xy_1995_2016_portfolio.png,2d_projection,Green Transition Readiness Cube - incoming network version,global,portfolio,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,x_y projection,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Green capability and local green-ness rise together, but not smoothly","Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.",thesis-core,recommended-draft,Shows output-weighted movement through available green-readiness space.,display labels cleaned only; source data unchanged,x_y projection,Use with directional-proxy caveat.,written
outputs\plots\abm_v3\phase_space\phase_space_vector_field_green_readiness_incoming_xy_1995_2016_portfolio.png,vector_field,Green Transition Readiness Cube - incoming network version,country_sector-year movement,portfolio,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,binned x_y movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_incoming_x_y_1995_2016.csv,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.",Historical movement fields show uneven motion across the green-readiness space,"Arrows show average year-to-year movement in binned state space. These are historical diagnostics, not forecasts or causal transition rules.",diagnostic,diagnostic-until-validated,Average historical movement in binned state space; diagnostic only.,display labels cleaned only; source data unchanged,binned x_y movement; table=data\abm_v3\phase_space\vector_fields\vector_field_green_readiness_incoming_x_y_1995_2016.csv,Vector fields are binned historical summaries; XY incoming and outgoing can be similar because z is not used.,written
outputs\plots\abm_v3\phase_space\phase_space_global_green_readiness_incoming_3d_1995_2016_research.svg,3d_trajectory,Green Transition Readiness Cube - incoming network version,global,research,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,all country-sector nodes,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Global trajectory in green capability, local green-ness, and incoming network green-ness, 1995-2016","Output-weighted country-sector trajectory. Local green-ness is a node-level proxy; incoming and outgoing network green-ness are directional network proxies, not the missing canonical network-green-exposure variable.",research-support,supporting,Shows output-weighted movement through available green-readiness space.,display labels cleaned only; source data unchanged,all country-sector nodes,Use as contextual 3D trajectory.,written
outputs\plots\abm_v3\phase_space\phase_space_sector_green_readiness_incoming_3d_1995_2016_research.svg,3d_trajectory,Green Transition Readiness Cube - incoming network version,sector,research,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,all sectors with transparency,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Sector-level trajectories in green capability, local green-ness, and network green-ness, 1995-2016",Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,research-support,supporting,Shows heterogeneous sector corridors in available green-readiness space.,display labels cleaned only; source data unchanged,all sectors with transparency,Filtered view; not all sectors or nodes are displayed.,written
outputs\plots\abm_v3\phase_space\phase_space_nodes_top25_output_green_readiness_incoming_3d_1995_2016_research.svg,3d_trajectory,Green Transition Readiness Cube - incoming network version,top25_output,research,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,top 25 nodes by output,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Global trajectory in green capability, local green-ness, and incoming network green-ness, 1995-2016",Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,research-support,supporting,Shows concentration and persistence among selected country-sector nodes.,display labels cleaned only; source data unchanged,top 25 nodes by output,Filtered view; not all sectors or nodes are displayed.,written
outputs\plots\abm_v3\phase_space\phase_space_nodes_top25_emissions_green_readiness_incoming_3d_1995_2016_research.svg,3d_trajectory,Green Transition Readiness Cube - incoming network version,top25_emissions,research,default,green_capability_export_share,g_local,g_in_network,trajectory_weight_output,top 25 nodes by emissions,"Uses available incoming directional network green-ness, not the missing aggregate network_green_exposure concept.","Historical state-space diagnostic, not a scenario forecast or causal transition estimate.","Global trajectory in green capability, local green-ness, and incoming network green-ness, 1995-2016",Filtered trajectory view. Labels show selected sectors or country-sector nodes only; full trajectories remain available in research outputs.,research-support,supporting,Shows concentration and persistence among selected country-sector nodes.,display labels cleaned only; source data unchanged,top 25 nodes by emissions,Filtered view; not all sectors or nodes are displayed.,written
