ei_regime,z_bin,z_mean,delta_z_mean,ei_reduction_mean,n
global,"(-0.437, -0.196]",-0.24069154031085177,0.026097716388460878,0.001461036958454722,6390
global,"(-0.196, -0.164]",-0.1783311703250964,0.03144548610839866,0.00011073205176666585,6389
global,"(-0.164, -0.141]",-0.15201483874511829,0.03968222618198708,8.83639708643809e-06,6390
global,"(-0.141, -0.123]",-0.13221346657071628,0.03897720114838068,2.7010440981509473e-06,6389
global,"(-0.123, -0.105]",-0.11446837575518717,0.03222435465376371,-4.371351772603928e-06,6390
global,"(-0.105, -0.0897]",-0.0974313796563306,0.029302123562271236,0.002304079894677253,6389
global,"(-0.0897, -0.0749]",-0.08227062703588203,0.02848238705709174,0.00010306257491835248,6390
global,"(-0.0749, -0.0588]",-0.06703539542510385,0.026762714940000747,4.362230918543175e-05,6389
global,"(-0.0588, -0.0419]",-0.05038912808421471,0.023145978765863887,2.2549490782508475e-05,6390
global,"(-0.0419, -0.0254]",-0.03369063170940512,0.021788295041295817,7.561451880348846e-05,6389
global,"(-0.0254, -0.00758]",-0.016527558886428054,0.019962974796583023,9.54393704648039e-05,6389
global,"(-0.00758, 0.00951]",0.0010331860357216378,0.023135497330180235,0.0001001949481690185,6390
global,"(0.00951, 0.0281]",0.01869055352927419,0.01214507240601694,7.2447999562590455e-06,6389
global,"(0.0281, 0.0477]",0.03789501847533741,0.008534269789133865,8.040554201371096e-05,6390
global,"(0.0477, 0.0687]",0.05825978757938609,0.005434150746111164,2.9895801067117937e-05,6389
global,"(0.0687, 0.0915]",0.07983316577130459,0.0037936657557171728,4.715951558029601e-06,6390
global,"(0.0915, 0.12]",0.1050724256728327,-0.006397768240329847,5.39464392236617e-06,6389
global,"(0.12, 0.164]",0.1384426613466294,-0.027070736724037526,6.541993629595635e-05,6390
global,"(0.164, 0.291]",0.21437415814091926,-0.0670641981111129,7.239798752914432e-05,6389
global,"(0.291, 1.154]",0.5114429943445329,-0.13624327830425867,0.00022095480490673402,6390
Q1 low EI,"(-0.338, -0.163]",-0.19634498218639596,0.07158355668875332,-6.647897197643558e-06,1598
Q1 low EI,"(-0.163, -0.139]",-0.15078674597937922,0.07983216003071425,-2.3929026941703762e-05,1597
Q1 low EI,"(-0.139, -0.12]",-0.12955320916272306,0.05234409515015623,-2.1075250838962576e-06,1598
Q1 low EI,"(-0.12, -0.103]",-0.11207704575200185,0.04736259580326425,-8.997220281425252e-06,1597
Q1 low EI,"(-0.103, -0.0889]",-0.0961689626693753,0.0480806500274597,-1.1211922254799748e-06,1597
Q1 low EI,"(-0.0889, -0.0718]",-0.08027155372459029,0.036705836415847536,-7.891464986581361e-06,1598
Q1 low EI,"(-0.0718, -0.0566]",-0.06401656159919569,0.031068661955388415,-2.7115345190136027e-06,1597
Q1 low EI,"(-0.0566, -0.0419]",-0.04922024645449698,0.026086383937410355,-5.671598540918097e-07,1597
Q1 low EI,"(-0.0419, -0.0271]",-0.03449860493087668,0.02896005826924429,-1.3258278995397848e-06,1598
Q1 low EI,"(-0.0271, -0.0128]",-0.01969063089637327,0.03369994131414297,-2.095162028020666e-06,1597
Q1 low EI,"(-0.0128, 0.000452]",-0.00653852162693164,0.03018051597492502,-4.5184013866665297e-07,1597
Q1 low EI,"(0.000452, 0.0149]",0.007618997333661273,0.018974595968517,-3.0937741369350982e-06,1598
Q1 low EI,"(0.0149, 0.0311]",0.02312336294078645,0.01595453909427779,-1.825672266622085e-06,1597
Q1 low EI,"(0.0311, 0.0485]",0.039717455314627906,0.0134919593387941,-1.8676659047186642e-06,1597
Q1 low EI,"(0.0485, 0.0646]",0.05647121143597929,0.016790457207245674,-2.5872640089723172e-06,1598
Q1 low EI,"(0.0646, 0.0829]",0.07344239673262787,0.0124865783686538,-2.118292954480643e-06,1597
Q1 low EI,"(0.0829, 0.107]",0.09484215688722555,0.00017695347229052994,-2.629808723408888e-06,1598
Q1 low EI,"(0.107, 0.134]",0.11812827666235919,-0.0336619152785869,-1.4713479310393903e-06,1597
Q1 low EI,"(0.134, 0.212]",0.16333069783059298,-0.07761971646645095,-0.00027443656868324353,1597
Q1 low EI,"(0.212, 1.106]",0.36244197384604626,-0.27617645147927095,-0.00016269322592528862,1598
Q2,"(-0.414, -0.166]",-0.20150616641667804,0.04273964687677218,-1.574228620017705e-05,1598
Q2,"(-0.166, -0.14]",-0.15226752456333442,0.04446651126033652,-2.3039335948745538e-05,1597
Q2,"(-0.14, -0.124]",-0.13195497962430866,0.0419421043125831,-5.467291863794839e-06,1597
Q2,"(-0.124, -0.11]",-0.11666264752425079,0.03801001043870739,-7.310811811709468e-07,1598
Q2,"(-0.11, -0.095]",-0.1023810364334993,0.03408747319341195,-4.522397220597422e-06,1597
Q2,"(-0.095, -0.0797]",-0.08725938297429972,0.034252002114869846,-5.251892691629885e-06,1597
Q2,"(-0.0797, -0.0652]",-0.0723026974782684,0.029878309377553813,-1.995872711537419e-06,1598
Q2,"(-0.0652, -0.05]",-0.05759172063776733,0.032842929890495455,-4.232304227862377e-06,1597
Q2,"(-0.05, -0.0341]",-0.042125967730959606,0.02826050755136428,1.7618451837406927e-06,1597
Q2,"(-0.0341, -0.0176]",-0.025846615028453892,0.024380578198277235,4.888830604698937e-07,1598
