c_bin,ce_bin,c_mean,ce_mean,delta_c_mean,delta_ce_mean,delta_ei_mean,ei_reduction_mean,n,ei_regime
"(0.296, 0.358]","(-0.523, -0.244]",0.3477941594014735,-0.29065885842425315,0.006631380183163218,0.030270947767379368,-0.0006331803948459831,0.0006331803948459831,15951,global
"(0.296, 0.358]","(-0.244, -0.199]",0.3579104514005301,-0.24421109169489877,0.003668575662679431,0.01676645009506353,-8.64518311479486e-05,8.64518311479486e-05,22,global
"(0.358, 0.368]","(-0.244, -0.199]",0.3630417729228562,-0.22104251891714827,0.007885292396375827,0.03528162268883329,6.932648130603444e-07,-6.932648130603444e-07,15809,global
"(0.358, 0.368]","(-0.199, -0.162]",0.3678948643274736,-0.19876303667459314,0.006755462164036248,0.028792636069844797,1.6223393782132296e-05,-1.6223393782132296e-05,149,global
"(0.368, 0.376]","(-0.244, -0.199]",0.3688354724092268,-0.2048208974789345,0.027931155846880985,0.13802188744564467,-3.3857429255926967e-06,3.3857429255926967e-06,21,global
"(0.368, 0.376]","(-0.199, -0.162]",0.37197428830399193,-0.18016944723309178,0.006723656169677878,0.027248239061148444,-0.0010091577600884996,0.0010091577600884996,15372,global
"(0.368, 0.376]","(-0.162, -0.122]",0.3761092294887758,-0.16126363203274788,0.0055933737014363175,0.021469312619888187,-7.759565761240509e-05,7.759565761240509e-05,578,global
"(0.376, 0.386]","(-0.199, -0.162]",0.3817067365871636,-0.18245893678908973,0.018127965101232754,0.08821099167890706,-2.384367441036224e-05,2.384367441036224e-05,36,global
"(0.376, 0.386]","(-0.162, -0.122]",0.3804434579253434,-0.14149711607898002,0.006940233409680592,0.021058705329599126,-4.559355485462203e-05,4.559355485462203e-05,14232,global
"(0.376, 0.386]","(-0.122, -0.0805]",0.38520160665147457,-0.1197421668260606,0.006652083848683251,0.01926086533656353,-3.231902799356251e-05,3.231902799356251e-05,1689,global
"(0.386, 0.396]","(-0.244, -0.199]",0.3903289302158361,-0.21162724969963823,0.013449319994446408,0.0654580698365703,-1.2909827522539047e-05,1.2909827522539047e-05,22,global
"(0.386, 0.396]","(-0.199, -0.162]",0.3903764520563551,-0.17864686469753788,0.007785827980523023,0.03953412380500086,-0.00026423890050525416,0.00026423890050525416,82,global
"(0.386, 0.396]","(-0.162, -0.122]",0.39178953469918726,-0.138712499250484,0.007054780082173277,0.03206375025174043,-3.567831644331226e-05,3.567831644331226e-05,122,global
"(0.386, 0.396]","(-0.122, -0.0805]",0.3897592001858977,-0.09902216995180609,0.006811296792476655,0.01898470504397596,-9.307424200478406e-05,9.307424200478406e-05,12426,global
"(0.386, 0.396]","(-0.0805, -0.0344]",0.3949818095452553,-0.07505548776277511,0.005902841687333556,0.009410977547207761,-2.567980058802757e-05,2.567980058802757e-05,3322,global
"(0.396, 0.41]","(-0.199, -0.162]",0.40231932696482775,-0.1770920625863647,0.004655827659701825,0.04094694634395242,-9.68225490277196e-05,9.68225490277196e-05,51,global
"(0.396, 0.41]","(-0.162, -0.122]",0.40300489491223423,-0.13977101353626162,0.0075026479501775056,0.03141362115081738,-3.353069243498996e-05,3.353069243498996e-05,165,global
"(0.396, 0.41]","(-0.122, -0.0805]",0.4031289840301368,-0.09976252417520581,0.003322661617794208,0.01525958282464107,-8.761562467992008e-05,8.761562467992008e-05,327,global
"(0.396, 0.41]","(-0.0805, -0.0344]",0.40004211459980893,-0.052914218772089544,0.005492791234211152,0.005273457896870149,-2.2810508745531268e-05,2.2810508745531268e-05,9364,global
"(0.396, 0.41]","(-0.0344, 0.0311]",0.40677263686922,-0.02119485576811775,0.0042700843421760535,0.0010871113175061232,-1.1468142489451493e-05,1.1468142489451493e-05,6051,global
"(0.41, 0.454]","(-0.244, -0.199]",0.42966869282949505,-0.21595201444997242,0.0024781554429030572,0.05620347457759632,-3.666925139562449e-05,3.666925139562449e-05,38,global
"(0.41, 0.454]","(-0.199, -0.162]",0.43054375300598235,-0.17590178747012367,0.01956431943096531,0.07882701491585141,1.1733727853798699e-05,-1.1733727853798699e-05,117,global
"(0.41, 0.454]","(-0.162, -0.122]",0.431363727789537,-0.14163237826822764,0.007771610132350241,0.02929038374055727,-4.136287853555976e-05,4.136287853555976e-05,269,global
"(0.41, 0.454]","(-0.122, -0.0805]",0.4281155416710709,-0.09902309481801004,0.004838523790640334,0.021914134994174037,-5.704341326380894e-05,5.704341326380894e-05,447,global
"(0.41, 0.454]","(-0.0805, -0.0344]",0.42971015723923855,-0.05669434349898151,0.006204731393756459,0.014598380715851357,-2.7928772668643986e-05,2.7928772668643986e-05,967,global
"(0.41, 0.454]","(-0.0344, 0.0311]",0.41650837940604324,0.008481371686903374,0.0007968800944759156,-0.013398574901386205,-2.2939250782756895e-05,2.2939250782756895e-05,6893,global
"(0.41, 0.454]","(0.0311, 1.0]",0.43044181839085344,0.08462620170130432,-0.010818649964298458,-0.0717311923065557,-2.888958556184281e-05,2.888958556184281e-05,7241,global
"(0.454, 0.901]","(-0.244, -0.199]",0.5385737469138877,-0.2172889943559465,-0.036125944763688446,0.09283577087694662,0.00010863965313497064,-0.00010863965313497064,30,global
"(0.454, 0.901]","(-0.199, -0.162]",0.5152737745249187,-0.17467809262784087,-0.0199853892033469,0.07424724953824027,-3.873196643205464e-06,3.873196643205464e-06,166,global
"(0.454, 0.901]","(-0.162, -0.122]",0.5140250605475943,-0.140866112845596,-0.014205052874248243,0.03208874818881148,-0.00015608843471652824,0.00015608843471652824,608,global
"(0.454, 0.901]","(-0.122, -0.0805]",0.5240900583333089,-0.09852597864822128,-0.01997712507308123,0.015253614943501376,-0.00016222277486878638,0.00016222277486878638,1085,global
"(0.454, 0.901]","(-0.0805, -0.0344]",0.5247897030739623,-0.05647293637058106,-0.01661392483213606,0.013071980652268209,-4.7180530194376086e-05,4.7180530194376086e-05,2320,global
"(0.454, 0.901]","(-0.0344, 0.0311]",0.5200338263076225,-0.004620828482840823,-0.011844714256609707,0.009468736336966287,-4.488921561453535e-05,4.488921561453535e-05,3030,global
"(0.454, 0.901]","(0.0311, 1.0]",0.5372801834442325,0.3103188437556307,-0.0240408450729161,-0.10148085714690701,-0.00021160197524973723,0.00021160197524973723,8732,global
"(0.321, 0.366]","(-0.411, -0.207]",0.3582181252514869,-0.2431287378904263,0.01567033726825942,0.07000088098452796,1.2670115817664767e-05,-1.2670115817664767e-05,3942,Q1 low EI
"(0.321, 0.366]","(-0.207, -0.168]",0.36608655931351464,-0.20704008391694398,0.009492518250604964,0.043357908147217336,2.18208751541765e-06,-2.18208751541765e-06,51,Q1 low EI
"(0.366, 0.375]","(-0.207, -0.168]",0.3705614998126256,-0.18669207777572724,0.011320122666592285,0.0463154447763412,4.751798942109649e-06,-4.751798942109649e-06,3854,Q1 low EI
"(0.366, 0.375]","(-0.168, -0.13]",0.37477722725248774,-0.16739830065618902,0.007835318548526439,0.029872389517921098,-7.865259975297404e-07,7.865259975297404e-07,134,Q1 low EI
"(0.375, 0.384]","(-0.168, -0.13]",0.3791323235819765,-0.14750884755870108,0.00846031973494664,0.03139954927855674,4.607922645163657e-06,-4.607922645163657e-06,3716,Q1 low EI
"(0.375, 0.384]","(-0.13, -0.094]",0.3833099510217784,-0.12839799152126008,0.008342058312993814,0.029276244430276134,2.1623184972240276e-06,-2.1623184972240276e-06,273,Q1 low EI
"(0.384, 0.391]","(-0.13, -0.094]",0.3872302164739132,-0.11047875440408617,0.007208193173623482,0.029068848428692402,1.585816061965449e-06,-1.585816061965449e-06,3560,Q1 low EI
"(0.384, 0.391]","(-0.094, -0.0605]",0.39112375211677813,-0.09257331344980996,0.012570385137209312,0.05307788295365261,7.15659425793385e-07,-7.15659425793385e-07,404,Q1 low EI
"(0.391, 0.4]","(-0.094, -0.0605]",0.394668363465376,-0.07646756577936198,0.006191458522898499,0.020462864462450842,1.679264549206824e-06,-1.679264549206824e-06,3212,Q1 low EI
"(0.391, 0.4]","(-0.0605, -0.0211]",0.3991176380394854,-0.05614088033590072,0.004956480809109278,0.011775587212502643,2.086424412311565e-06,-2.086424412311565e-06,746,Q1 low EI
"(0.4, 0.411]","(-0.13, -0.094]",0.40489360539964153,-0.10506859982588387,0.0009455512471228843,0.01396532509491638,-1.365504256307407e-06,1.365504256307407e-06,22,Q1 low EI
"(0.4, 0.411]","(-0.094, -0.0605]",0.40611965335777583,-0.07524243908201315,0.005382625130752696,0.022202607483693862,-2.1213925764930152e-07,2.1213925764930152e-07,47,Q1 low EI
"(0.4, 0.411]","(-0.0605, -0.0211]",0.40340264356876665,-0.03674922788971206,0.00555203301057738,0.012209448176705624,2.2304958110259055e-06,-2.2304958110259055e-06,2550,Q1 low EI
"(0.4, 0.411]","(-0.0211, 0.0317]",0.40872391900527955,-0.012236291060984913,0.004930905856295029,0.01120054475556285,3.246493494662011e-06,-3.246493494662011e-06,1353,Q1 low EI
"(0.411, 0.428]","(-0.13, -0.094]",0.4179885736859784,-0.10578311737264447,0.00943105902854265,0.03280828721977505,1.325653362238213e-06,-1.325653362238213e-06,25,Q1 low EI
